May  8 17:39:01 iv-splv-link CRON[16186]: pam_unix(cron:session): session closed for user root
May  8 18:09:01 iv-splv-link CRON[16226]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 18:09:01 iv-splv-link CRON[16226]: pam_unix(cron:session): session closed for user root
May  8 18:17:01 iv-splv-link CRON[16262]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 18:17:01 iv-splv-link CRON[16262]: pam_unix(cron:session): session closed for user root
May  8 18:39:01 iv-splv-link CRON[16269]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 18:39:01 iv-splv-link CRON[16269]: pam_unix(cron:session): session closed for user root
May  8 19:09:01 iv-splv-link CRON[16310]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 19:09:01 iv-splv-link CRON[16310]: pam_unix(cron:session): session closed for user root
May  8 19:17:01 iv-splv-link CRON[16346]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 19:17:01 iv-splv-link CRON[16346]: pam_unix(cron:session): session closed for user root
May  8 19:39:01 iv-splv-link CRON[16353]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 19:39:02 iv-splv-link CRON[16353]: pam_unix(cron:session): session closed for user root
May  8 20:09:01 iv-splv-link CRON[16393]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 20:09:01 iv-splv-link CRON[16393]: pam_unix(cron:session): session closed for user root
May  8 20:17:01 iv-splv-link CRON[16429]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 20:17:01 iv-splv-link CRON[16429]: pam_unix(cron:session): session closed for user root
May  8 20:39:01 iv-splv-link CRON[16437]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 20:39:01 iv-splv-link CRON[16437]: pam_unix(cron:session): session closed for user root
May  8 21:09:01 iv-splv-link CRON[16477]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 21:09:01 iv-splv-link CRON[16477]: pam_unix(cron:session): session closed for user root
May  8 21:17:01 iv-splv-link CRON[16513]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 21:17:01 iv-splv-link CRON[16513]: pam_unix(cron:session): session closed for user root
May  8 21:39:01 iv-splv-link CRON[16520]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 21:39:01 iv-splv-link CRON[16520]: pam_unix(cron:session): session closed for user root
May  8 22:09:01 iv-splv-link CRON[16560]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 22:09:01 iv-splv-link CRON[16560]: pam_unix(cron:session): session closed for user root
May  8 22:17:01 iv-splv-link CRON[16597]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 22:17:01 iv-splv-link CRON[16597]: pam_unix(cron:session): session closed for user root
May  8 22:39:01 iv-splv-link CRON[16604]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 22:39:01 iv-splv-link CRON[16604]: pam_unix(cron:session): session closed for user root
May  8 23:09:01 iv-splv-link CRON[16644]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 23:09:01 iv-splv-link CRON[16644]: pam_unix(cron:session): session closed for user root
May  8 23:17:01 iv-splv-link CRON[16680]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 23:17:01 iv-splv-link CRON[16680]: pam_unix(cron:session): session closed for user root
May  8 23:39:01 iv-splv-link CRON[16687]: pam_unix(cron:session): session opened for user root by (uid=0)
May  8 23:39:01 iv-splv-link CRON[16687]: pam_unix(cron:session): session closed for user root
May  9 00:09:01 iv-splv-link CRON[16728]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 00:09:01 iv-splv-link CRON[16728]: pam_unix(cron:session): session closed for user root
May  9 00:17:01 iv-splv-link CRON[16764]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 00:17:01 iv-splv-link CRON[16764]: pam_unix(cron:session): session closed for user root
May  9 00:39:01 iv-splv-link CRON[16771]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 00:39:01 iv-splv-link CRON[16771]: pam_unix(cron:session): session closed for user root
May  9 01:09:01 iv-splv-link CRON[16811]: pam_unix(cron:session): session opened for user root by (uid=0)
May  9 01:09:01 iv-splv-link CRON[16811]: pam_unix(cron:session): session closed for user root
